------------ VAE architecture optimization ------------
DATE: 23/05/2022
k = 5e-6
epochs = 5000
batch_size = 256
optimizer = Adam (default)

----------------------------------------------------------------------
|  Trial  |    Architecture    |       FID       | Training time [s] |
----------------------------------------------------------------------
|    0    |     [381, 923]     |    2.519892     |       61.6        |
|    1    |  [905, 526, 681]   |    0.006020     |       75.2        |
|    2    |  [754, 824, 688]   |    79.797567    |       75.7        |
|    3    |  [804, 224, 936]   |    5.517200     |       75.3        |
|    4    |     [459, 950]     |    10.850636    |       62.2        |
|    5    |     [316, 181]     |    0.014437     |       63.8        |
|    6    |  [430, 558, 520]   |   215.085373    |       74.7        |
|    7    |  [893, 868, 381]   |    10.042697    |       75.4        |
|    8    |  [338, 1023, 348]  |    0.257506     |       73.1        |
|    9    |     [145, 314]     |    0.015629     |       60.6        |
|   10    |  [1006, 689, 722]  |   2012.104011   |       75.0        |
|   11    |     [315, 568]     |    0.042589     |       60.3        |
|   12    |     [532, 135]     |    0.019572     |       61.7        |
|   13    |     [675, 136]     |    0.019518     |       61.9        |
|   14    |     [335, 714]     |    0.630258     |       59.9        |
|   15    |  [578, 470, 805]   |   423.592615    |       75.2        |
|   16    |     [677, 425]     |    0.569022     |       62.2        |
|   17    |  [609, 257, 506]   |    0.001999     |       74.7        |
|   18    |  [631, 160, 505]   |    0.191827     |       74.9        |
|   19    |  [259, 250, 775]   |    1.021032     |       72.2        |
|   20    |  [1005, 452, 625]  |    64.712281    |       74.6        |
|   21    |  [146, 267, 241]   |    0.001664     |       73.0        |
|   22    |  [131, 226, 481]   |    0.539291     |       73.7        |
|   23    |  [452, 395, 261]   |    0.002894     |       72.8        |
|   24    |  [464, 394, 242]   |    0.004978     |       74.8        |
|   25    |  [696, 273, 249]   |    0.000816     |       75.0        |
|   26    |  [674, 263, 255]   |    0.004342     |       75.1        |
|   27    |  [706, 134, 415]   |    0.001609     |       74.8        |
|   28    |  [733, 131, 428]   |    0.001736     |       74.8        |
|   29    |  [517, 185, 294]   |    0.001548     |       75.2        |
|   30    |  [481, 207, 318]   |    0.050549     |       74.7        |
|   31    |  [269, 180, 211]   |    0.001271     |       74.9        |
|   32    |  [532, 174, 394]   |    0.002403     |       74.8        |
|   33    |  [703, 193, 193]   |    2.835621     |       74.2        |
|   34    |  [345, 344, 305]   |    0.004807     |       71.8        |
|   35    |  [787, 131, 198]   |    0.000970     |       74.5        |
|   36    |  [842, 298, 196]   |    0.002721     |       74.8        |
|   37    |  [227, 201, 164]   |    0.002682     |       72.8        |
|   38    |  [828, 356, 218]   |    0.046368     |       74.4        |
|   39    |  [916, 424, 291]   |    0.792109     |       73.2        |
